Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes,game_link,ids,Season,Home_Score,Away_Score
22.0,Sun,2023-09-03,18:30,Bahia,1.7,1–1,1.1,Vasco da Gama,,Itaipava Arena Fonte Nova,Ramon Abatti Abel,Match Report,,/en/matches/9d6da9eb/Bahia-Vasco-da-Gama-September-3-2023-Serie-A,9d6da9eb,2023,1,1
22.0,Sun,2023-09-03,18:30,América (MG),1.6,2–0,1.0,Santos,,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,,/en/matches/fcc36ad9/America-MG-Santos-September-3-2023-Serie-A,fcc36ad9,2023,2,0
22.0,Sat,2023-09-02,21:00,Botafogo (RJ),1.1,1–2,0.8,Flamengo,40769.0,Estádio Nilton Santos,Raphael Claus,Match Report,,/en/matches/8a37c567/Botafogo-RJ-Flamengo-September-2-2023-Serie-A,8a37c567,2023,1,2
23.0,Thu,2023-09-14,19:00,Santos,0.5,0–3,1.4,Cruzeiro,12244.0,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,,/en/matches/398241d4/Santos-Cruzeiro-September-14-2023-Serie-A,398241d4,2023,0,3
23.0,Thu,2023-09-14,19:00,Fortaleza,2.6,2–1,0.4,Corinthians,32690.0,Estádio Castelão,Rodrigo José Pereira de Lima,Match Report,,/en/matches/f2b21359/Fortaleza-Corinthians-September-14-2023-Serie-A,f2b21359,2023,2,1
23.0,Thu,2023-09-14,20:00,Coritiba,1.3,2–4,3.8,Bahia,,Estádio Major Antônio Couto Pereira,Wagner do Nascimento Magalhães,Match Report,,/en/matches/e98c8573/Coritiba-Bahia-September-14-2023-Serie-A,e98c8573,2023,2,4
23.0,Wed,2023-09-13,21:30,Internacional,1.0,2–1,1.4,São Paulo,,Estádio José Pinheiro Borba,Paulo Zanovelli,Match Report,,/en/matches/16aa6191/Internacional-Sao-Paulo-September-13-2023-Serie-A,16aa6191,2023,2,1
23.0,Wed,2023-09-13,21:30,Flamengo,0.5,0–3,2.3,Ath Paranaense,,Estadio Jornalista Mário Filho,Rafael Rodrigo Klein,Match Report,,/en/matches/cea6d996/Flamengo-Athletico-Paranaense-September-13-2023-Serie-A,cea6d996,2023,0,3
23.0,Fri,2023-09-15,19:00,Cuiabá,1.7,2–2,0.4,América (MG),,Arena Pantanal,Bruno Arleu,Match Report,,/en/matches/0fc4966a/Cuiaba-America-MG-September-15-2023-Serie-A,0fc4966a,2023,2,2
23.0,Thu,2023-09-14,21:30,Bragantino,1.3,2–0,1.3,Grêmio,5088.0,Estádio Nabi Abi Chedid,André Luiz Skettino Policarpo Bento,Match Report,,/en/matches/8dbc5f2b/Bragantino-Gremio-September-14-2023-Serie-A,8dbc5f2b,2023,2,0
